# Can_master	Can_node	Module	FEB	FEB_CHAN	PixelHW_ID	PixelSW_ID	x[mm]	y[mm]
1	1	2	1	1	1	98	-36.45	49.10
1	1	2	1	2	2	99	-12.15	49.10
1	1	2	1	3	3	112	0.00	70.15
1	1	2	1	4	4	113	24.30	70.15
1	1	2	1	5	5	87	-24.30	28.06
1	1	2	1	6	6	88	0.00	28.06
1	1	2	1	7	7	100	12.15	49.10
1	1	2	1	8	8	101	36.45	49.10
1	1	2	1	9	9	76	12.15	7.01
1	1	2	1	10	10	89	24.30	28.06
1	1	2	1	11	11	90	48.60	28.06
1	1	2	1	12	12	102	60.75	49.10
1	2	7	1	13	1	124	36.45	91.19
1	2	7	1	14	2	125	60.75	91.19
1	2	7	1	15	3	135	72.90	112.24
1	2	7	1	16	4	136	97.20	112.24
1	2	7	1	17	5	114	48.60	70.15
1	2	7	1	18	6	115	72.90	70.15
1	2	7	1	19	7	126	85.05	91.19
1	2	7	1	20	8	127	109.35	91.19
1	2	7	1	21	9	103	85.05	49.10
1	2	7	1	22	10	116	97.20	70.15
1	2	7	1	23	11	117	121.50	70.15
1	2	7	1	24	12	128	133.65	91.19
1	3	8	2	1	1	137	-36.45	133.28
1	3	8	2	2	2	138	-12.15	133.28
1	3	8	2	3	3	142	0.00	154.33
1	3	8	2	4	4	143	24.30	154.33
1	3	8	2	5	5	131	-24.30	112.24
1	3	8	2	6	6	132	0.00	112.24
1	3	8	2	7	7	139	12.15	133.28
1	3	8	2	8	8	140	36.45	133.28
1	3	8	2	9	9	123	12.15	91.19
1	3	8	2	10	10	133	24.30	112.24
1	3	8	2	11	11	134	48.60	112.24
1	3	8	2	12	12	141	60.75	133.28
1	4	9	1	25	1	118	-109.35	91.19
1	4	9	1	26	2	119	-85.05	91.19
1	4	9	1	27	3	129	-72.90	112.24
1	4	9	1	28	4	130	-48.60	112.24
1	4	9	1	29	5	108	-97.20	70.15
1	4	9	1	30	6	109	-72.90	70.15
1	4	9	1	31	7	120	-60.75	91.19
1	4	9	1	32	8	121	-36.45	91.19
1	4	9	1	33	9	97	-60.75	49.10
1	4	9	1	34	10	110	-48.60	70.15
1	4	9	1	35	11	111	-24.30	70.15
1	4	9	1	36	12	122	-12.15	91.19
1	5	3	1	37	1	39	-24.30	-56.12
1	5	3	1	38	2	50	-36.45	-35.07
1	5	3	1	39	3	49	-60.75	-35.07
1	5	3	1	40	4	61	-72.90	-14.03
1	5	3	1	41	5	51	-12.15	-35.07
1	5	3	1	42	6	63	-24.30	-14.03
1	5	3	1	43	7	62	-48.60	-14.03
1	5	3	1	44	8	73	-60.75	7.01
1	5	3	1	45	9	75	-12.15	7.01
1	5	3	1	46	10	74	-36.45	7.01
1	5	3	1	47	11	86	-48.60	28.06
1	5	3	1	48	12	85	-72.90	28.06
1	6	10	2	13	1	60	-97.20	-14.03
1	6	10	2	14	2	71	-109.35	7.01
1	6	10	2	15	3	70	-133.65	7.01
1	6	10	2	16	4	82	-145.80	28.06
1	6	10	2	17	5	72	-85.05	7.01
1	6	10	2	18	6	84	-97.20	28.06
1	6	10	2	19	7	83	-121.50	28.06
1	6	10	2	20	8	94	-133.65	49.10
1	6	10	2	21	9	96	-85.05	49.10
1	6	10	2	22	10	95	-109.35	49.10
1	6	10	2	23	11	107	-121.50	70.15
1	6	10	2	24	12	106	-145.80	70.15
1	7	11	2	25	1	12	-97.20	-98.21
1	7	11	2	26	2	23	-109.35	-77.16
1	7	11	2	27	3	22	-133.65	-77.16
1	7	11	2	28	4	34	-145.80	-56.12
1	7	11	2	29	5	24	-85.05	-77.16
1	7	11	2	30	6	36	-97.20	-56.12
1	7	11	2	31	7	35	-121.50	-56.12
1	7	11	2	32	8	46	-133.65	-35.07
1	7	11	2	33	9	48	-85.05	-35.07
1	7	11	2	34	10	47	-109.35	-35.07
1	7	11	2	35	11	59	-121.50	-14.03
1	7	11	2	36	12	58	-145.80	-14.03
1	8	12	1	49	1	1	-24.30	-140.30
1	8	12	1	50	2	6	-36.45	-119.25
1	8	12	1	51	3	5	-60.75	-119.25
1	8	12	1	52	4	13	-72.90	-98.21
1	8	12	1	53	5	7	-12.15	-119.25
1	8	12	1	54	6	15	-24.30	-98.21
1	8	12	1	55	7	14	-48.60	-98.21
1	8	12	1	56	8	25	-60.75	-77.16
1	8	12	1	57	9	27	-12.15	-77.16
1	8	12	1	58	10	26	-36.45	-77.16
1	8	12	1	59	11	38	-48.60	-56.12
1	8	12	1	60	12	37	-72.90	-56.12
1	9	1	1	61	1	78	60.75	7.01
1	9	1	1	62	2	66	48.60	-14.03
1	9	1	1	63	3	54	60.75	-35.07
1	9	1	1	64	4	42	48.60	-56.12
1	9	1	1	65	5	77	36.45	7.01
1	9	1	1	66	6	65	24.30	-14.03
1	9	1	1	67	7	53	36.45	-35.07
1	9	1	1	68	8	41	24.30	-56.12
1	9	1	1	69	9	64	0.00	-14.03
1	9	1	1	70	10	52	12.15	-35.07
1	9	1	1	71	11	40	0.00	-56.12
1	9	1	1	72	12	28	12.15	-77.16
1	10	4	1	73	1	30	60.75	-77.16
1	10	4	1	74	2	18	48.60	-98.21
1	10	4	1	75	3	10	60.75	-119.25
1	10	4	1	76	4	4	48.60	-140.30
1	10	4	1	77	5	29	36.45	-77.16
1	10	4	1	78	6	17	24.30	-98.21
1	10	4	1	79	7	9	36.45	-119.25
1	10	4	1	80	8	3	24.30	-140.30
1	10	4	1	81	9	16	0.00	-98.21
1	10	4	1	82	10	8	12.15	-119.25
1	10	4	1	83	11	2	0.00	-140.30
